,simulant_id,household_id_census,first_name_census,middle_initial_census,last_name_census,street_number_census,street_name_census,unit_number_census,city_census,state_census,zipcode_census,year,household_id_tax,first_name_tax,middle_initial_tax,last_name_tax,street_number_tax,street_name_tax,unit_number_tax,city_tax,state_tax,zipcode_tax,match,first_name_taxes,middle_initial_taxes,last_name_taxes,street_number_taxes,street_name_taxes,unit_number_taxes,city_taxes,state_taxes,zipcode_taxes
0,0_2,0_7,diana,p,kofron,5112,145th st,,anytown,WA,00000,2020.0,0_7,diana,p,kofron,5112,145th st,,anytown,,00000,1,,,,,,,,,
1,0_2,0_7,diana,p,kofron,5112,145th st,,anytown,WA,00000,2020.0,0_7,diana,p,kofron,5112,145th st,,anytown,WA,00000,1,,,,,,,,,
2,0_3,0_7,anna,a,kofron,5112,145th st,,anytown,WA,00000,2020.0,0_7,anna,a,kofron,5112,145th st,,anytown,WA,00000,1,,,,,,,,,
3,0_923,0_8033,gerald,r,butler,1130,mallory ln,,anytown,WA,00000,2020.0,0_8033,gerald,r,butler,1130,mallory ln,,anytown,WA,00000,1,,,,,,,,,
4,0_2641,0_1066,loretta,t,carley,,delacorte dr,,anytown,WA,00000,2020.0,0_1066,loretta,t,carley,32597,delacorte dr,,anytown,WA,00000,1,,,,,,,,,
5,0_2801,0_1138,richard,r,jones,950,caribou lane,,anytown,WA,00000,2020.0,0_1138,richard,r,jones,950,caribou lane,,anytown,WA,00000,1,,,,,,,,,
6,0_6176,0_2514,sandra,s,runnalls,4458,windsor pl,,anytown,WA,00000,2020.0,0_2514,sandra,s,runnalls,4458,windsor pl,,anytown,WA,00000,1,,,,,,,,,
7,0_13972,0_5627,jerry,e,murray,17868,winding trail rd,,anytown,WA,00000,2020.0,0_5627,jerry,e,murray,17868,winding trail rd,,anytown,WA,00000,1,,,,,,,,,
8,0_13972,0_5627,jerry,e,murray,17868,winding trail rd,,anytown,WA,00000,2020.0,0_5627,jerry,e,murray,17868,winding trail rd,,anytown,WA,00000,1,,,,,,,,,
9,0_13975,0_5627,toni,k,murray,17868,winding trail rd,,anytown,WA,00000,2020.0,0_5627,toni,k,murray,17868,winding trail rd,,anytown,WA,00000,1,,,,,,,,,
